date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:38:10	10867/10867	---M--	200	added ('OK')	image/png	etag:%22ee003dd243dfabf3d9497b7fcb87cfe7%22	https://assets-global.website-files.com/65d1995bebc2cbfa914e45d5/65d2c66401dd4f836aea8f5b_Home%20v2%20Icon.png	D:/.ari/test/assets-global.website-files.com/65d1995bebc2cbfa914e45d5/65d2c66401dd4f836aea8f5b_Home%20v2%20Icon.png	(from https://kidsland.webflow.io/index.html)
13:38:10	10908/10908	---M--	200	added ('OK')	image/png	etag:%22f5c8701d556a5a8f0dcf814f4ee69824%22	https://assets-global.website-files.com/65d1995bebc2cbfa914e45d5/65d2c66409a73841873e85a6_Home%20v2.png	D:/.ari/test/assets-global.website-files.com/65d1995bebc2cbfa914e45d5/65d2c66409a73841873e85a6_Home%20v2.png	(from https://kidsland.webflow.io/index.html)
13:38:11	10886/10886	---M--	200	added ('OK')	image/png	etag:%226d2e60d0ffaf9947183d4cb83badeb6a%22	https://assets-global.website-files.com/65d1995bebc2cbfa914e45d5/65d2c67086ea9062ba447aa4_Vector%209.png	D:/.ari/test/assets-global.website-files.com/65d1995bebc2cbfa914e45d5/65d2c67086ea9062ba447aa4_Vector%209.png	(from https://kidsland.webflow.io/index.html)
13:38:11	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2002%20May%202024%2011:38:12%20GMT	https://kidsland.webflow.io/%22https://assets-global.website-files.com/65d2f12648fded04723f7213/65fa6595751459f6af8a16bc_bg5.png%22	D:/.ari/test/kidsland.webflow.io/_https_/assets-global.website-files.com/65d2f12648fded04723f7213/65fa6595751459f6af8a16bc_bg5.png_	(from https://kidsland.webflow.io/index.html)
13:38:11	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2002%20May%202024%2011:38:12%20GMT	https://kidsland.webflow.io/service/early-education	D:/.ari/test/kidsland.webflow.io/service/early-education	(from https://kidsland.webflow.io/index.html)
13:38:11	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2002%20May%202024%2011:38:12%20GMT	https://kidsland.webflow.io/%22https://assets-global.website-files.com/65d2f12648fded04723f7213/65fa6368751459f6af88161c_bg1.png%22	D:/.ari/test/kidsland.webflow.io/_https_/assets-global.website-files.com/65d2f12648fded04723f7213/65fa6368751459f6af88161c_bg1.png_	(from https://kidsland.webflow.io/index.html)
13:38:11	35139/35139	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20May%202024%2011:38:12%20GMT	https://kidsland.webflow.io/service/abc-program	D:/.ari/test/kidsland.webflow.io/service/abc-program.html	(from https://kidsland.webflow.io/index.html)
13:38:11	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2002%20May%202024%2011:38:13%20GMT	https://kidsland.webflow.io/%22https://assets-global.website-files.com/65d2f12648fded04723f7213/65fa649ea658fe025a8090bb_bg3.png%22	D:/.ari/test/kidsland.webflow.io/_https_/assets-global.website-files.com/65d2f12648fded04723f7213/65fa649ea658fe025a8090bb_bg3.png_	(from https://kidsland.webflow.io/index.html)
13:38:12	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2002%20May%202024%2011:38:13%20GMT	https://kidsland.webflow.io/service/first-setps-4k	D:/.ari/test/kidsland.webflow.io/service/first-setps-4k	(from https://kidsland.webflow.io/index.html)
13:38:12	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2002%20May%202024%2011:38:13%20GMT	https://kidsland.webflow.io/%22https://assets-global.website-files.com/65d2f12648fded04723f7213/65fa64db0456aaad8a879984_bg4.png%22	D:/.ari/test/kidsland.webflow.io/_https_/assets-global.website-files.com/65d2f12648fded04723f7213/65fa64db0456aaad8a879984_bg4.png_	(from https://kidsland.webflow.io/index.html)
13:38:12	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2002%20May%202024%2011:38:13%20GMT	https://kidsland.webflow.io/service/mental-health	D:/.ari/test/kidsland.webflow.io/service/mental-health	(from https://kidsland.webflow.io/index.html)
13:38:12	35145/35145	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20May%202024%2011:38:13%20GMT	https://kidsland.webflow.io/service/science-education	D:/.ari/test/kidsland.webflow.io/service/science-education.html	(from https://kidsland.webflow.io/index.html)
13:38:13	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2002%20May%202024%2011:38:14%20GMT	https://kidsland.webflow.io/service/social-studies	D:/.ari/test/kidsland.webflow.io/service/social-studies	(from https://kidsland.webflow.io/index.html)
13:38:13	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2002%20May%202024%2011:38:14%20GMT	https://kidsland.webflow.io/%22https://assets-global.website-files.com/65d2f12648fded04723f7213/65fa646aa01b4a96564929be_bg2.png%22	D:/.ari/test/kidsland.webflow.io/_https_/assets-global.website-files.com/65d2f12648fded04723f7213/65fa646aa01b4a96564929be_bg2.png_	(from https://kidsland.webflow.io/index.html)
13:38:13	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2002%20May%202024%2011:38:14%20GMT	https://kidsland.webflow.io/service/visual-arts	D:/.ari/test/kidsland.webflow.io/service/visual-arts	(from https://kidsland.webflow.io/index.html)
13:38:13	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2002%20May%202024%2011:38:14%20GMT	https://kidsland.webflow.io/service/reading-education	D:/.ari/test/kidsland.webflow.io/service/reading-education	(from https://kidsland.webflow.io/index.html)
13:38:14	208059/208059	---M--	200	added ('OK')	image/png	etag:%22845e05c36cecf253f84b17b73f3b17b8%22	https://assets-global.website-files.com/65d1995bebc2cbfa914e45d5/65d2c6622635a0233ea340c3_Gallery%20Image%2001.png	D:/.ari/test/assets-global.website-files.com/65d1995bebc2cbfa914e45d5/65d2c6622635a0233ea340c3_Gallery%20Image%2001.png	(from https://kidsland.webflow.io/index.html)
13:38:15	238345/238345	---M--	200	added ('OK')	image/png	etag:%2298c33fa229a384623d94892d1967a221%22	https://assets-global.website-files.com/65d1995bebc2cbfa914e45d5/65d2c66371047512b6021b45_gallery%20Image%2003.png	D:/.ari/test/assets-global.website-files.com/65d1995bebc2cbfa914e45d5/65d2c66371047512b6021b45_gallery%20Image%2003.png	(from https://kidsland.webflow.io/index.html)
13:38:15	188345/188345	---M--	200	added ('OK')	image/png	etag:%22736e659a47c68cf41770bd1105e2e24e%22	https://assets-global.website-files.com/65d1995bebc2cbfa914e45d5/65d2c6630422e51ac6b59c84_gallery%20Image%2004.png	D:/.ari/test/assets-global.website-files.com/65d1995bebc2cbfa914e45d5/65d2c6630422e51ac6b59c84_gallery%20Image%2004.png	(from https://kidsland.webflow.io/index.html)
13:38:15	189703/189703	---M--	200	added ('OK')	image/png	etag:%22e1f8d51914e9fe493d60eb362ffdd5f6%22	https://assets-global.website-files.com/65d1995bebc2cbfa914e45d5/65d2c66301dd4f836aea8ec7_gallery%20Image%2005.png	D:/.ari/test/assets-global.website-files.com/65d1995bebc2cbfa914e45d5/65d2c66301dd4f836aea8ec7_gallery%20Image%2005.png	(from https://kidsland.webflow.io/index.html)
13:38:16	249872/249872	---M--	200	added ('OK')	image/png	etag:%227d87b8d8ca958536d83ebaeddc7828e6%22	https://assets-global.website-files.com/65d1995bebc2cbfa914e45d5/65d2c66472af01bb6f6e9e2e_gallery%20Image%2006.png	D:/.ari/test/assets-global.website-files.com/65d1995bebc2cbfa914e45d5/65d2c66472af01bb6f6e9e2e_gallery%20Image%2006.png	(from https://kidsland.webflow.io/index.html)
13:38:16	12498/12498	---M--	200	added ('OK')	image/png	etag:%223a0dc4a9c9ef88a7e2fa74b589bea3fb%22	https://assets-global.website-files.com/65d1995bebc2cbfa914e45d5/65d6bc52dfaa8125ae2e4d92_feature%20iage.png	D:/.ari/test/assets-global.website-files.com/65d1995bebc2cbfa914e45d5/65d6bc52dfaa8125ae2e4d92_feature%20iage.png	(from https://kidsland.webflow.io/index.html)
13:38:16	40384/40384	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20May%202024%2011:38:17%20GMT	https://kidsland.webflow.io/post/professor-fiona-stanley---children-key-to-the-future-3	D:/.ari/test/kidsland.webflow.io/post/professor-fiona-stanley---children-key-to-the-future-3.html	(from https://kidsland.webflow.io/index.html)
13:38:16	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2002%20May%202024%2011:38:17%20GMT	https://kidsland.webflow.io/post/a-close-look-at-the-montessori-approach-3	D:/.ari/test/kidsland.webflow.io/post/a-close-look-at-the-montessori-approach-3	(from https://kidsland.webflow.io/index.html)
13:38:17	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2002%20May%202024%2011:38:18%20GMT	https://kidsland.webflow.io/post/what-the-reggio-emilia-approach-can-offer-your-child-3	D:/.ari/test/kidsland.webflow.io/post/what-the-reggio-emilia-approach-can-offer-your-child-3	(from https://kidsland.webflow.io/index.html)
13:38:17	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=65d1995bebc2cbfa914e45d5	D:/.ari/test/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8410d.js	(from https://kidsland.webflow.io/index.html)
